True Positives: 0, False Positives: 2358, False Negatives: 436, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.0157417832431063,
True Positives: 0, False Positives: 2358, False Negatives: 446, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.015692923071734113,
True Positives: 0, False Positives: 2358, False Negatives: 455, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.015645206742840027,
True Positives: 0, False Positives: 2358, False Negatives: 465, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.015562633690307692,
True Positives: 0, False Positives: 2358, False Negatives: 474, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.015506322999982917,
True Positives: 0, False Positives: 2358, False Negatives: 484, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.01545573815081839,
True Positives: 0, False Positives: 2358, False Negatives: 494, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.015414666299592008,
True Positives: 0, False Positives: 2358, False Negatives: 503, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.015395740149101647,
True Positives: 0, False Positives: 2358, False Negatives: 513, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.015355837389864757,
True Positives: 0, False Positives: 2358, False Negatives: 522, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.015328815722227338,
True Positives: 0, False Positives: 2358, False Negatives: 532, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.015277045080834878,
True Positives: 0, False Positives: 2358, False Negatives: 541, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.015222292149728287,
True Positives: 0, False Positives: 2358, False Negatives: 551, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.015167031845737937,
True Positives: 0, False Positives: 2358, False Negatives: 561, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.015139135194303549,
True Positives: 0, False Positives: 2358, False Negatives: 570, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.015089947552635414,
True Positives: 0, False Positives: 2358, False Negatives: 580, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.01506036760517951,
True Positives: 0, False Positives: 2358, False Negatives: 589, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.015031154283539634,
True Positives: 0, False Positives: 2358, False Negatives: 599, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.014998217198674946,
True Positives: 0, False Positives: 2358, False Negatives: 608, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.014971765388171016,
True Positives: 0, False Positives: 2358, False Negatives: 618, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.014941988365712108,
True Positives: 0, False Positives: 2358, False Negatives: 627, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.01490222735727124,
True Positives: 0, False Positives: 2358, False Negatives: 637, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.014883187453704,
True Positives: 0, False Positives: 2358, False Negatives: 647, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.014826454188572083,
True Positives: 0, False Positives: 2358, False Negatives: 656, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.014794474341478812,
True Positives: 0, False Positives: 2358, False Negatives: 666, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.014774438132152826,
True Positives: 0, False Positives: 2358, False Negatives: 675, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.014751167761502006,
True Positives: 0, False Positives: 2358, False Negatives: 685, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.014731811778120659,
True Positives: 0, False Positives: 2358, False Negatives: 695, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.014708395894990482,
True Positives: 0, False Positives: 2358, False Negatives: 704, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.014681064642073497,
True Positives: 0, False Positives: 2358, False Negatives: 714, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.014646505277336732,
True Positives: 0, False Positives: 2358, False Negatives: 723, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.014625731401132597,
True Positives: 0, False Positives: 2358, False Negatives: 733, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.01460751357573968,
True Positives: 0, False Positives: 2358, False Negatives: 742, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.014585951153660645,
True Positives: 0, False Positives: 2358, False Negatives: 752, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.014585764010655809,
True Positives: 0, False Positives: 2358, False Negatives: 761, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.014563410260199479,
True Positives: 0, False Positives: 2358, False Negatives: 771, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.014543661849564987,
True Positives: 0, False Positives: 2358, False Negatives: 780, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.014527011235919091,
True Positives: 0, False Positives: 2358, False Negatives: 790, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.01451019016204566,
True Positives: 0, False Positives: 2358, False Negatives: 799, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.014493959881117242,
True Positives: 0, False Positives: 2358, False Negatives: 809, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.014477456489506156,
True Positives: 0, False Positives: 2358, False Negatives: 818, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.014460105183382133,
True Positives: 0, False Positives: 2358, False Negatives: 828, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.014454074510874179,
True Positives: 0, False Positives: 2358, False Negatives: 837, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.014436232008368386,
True Positives: 0, False Positives: 2358, False Negatives: 847, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.014418163110983876,
True Positives: 0, False Positives: 2358, False Negatives: 856, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.01440434044743767,
True Positives: 0, False Positives: 2358, False Negatives: 866, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.014386384414557954,
True Positives: 0, False Positives: 2358, False Negatives: 875, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.014374006964578127,
True Positives: 0, False Positives: 2358, False Negatives: 884, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.014361762533942602,
True Positives: 0, False Positives: 2358, False Negatives: 894, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.014334161611861594,
True Positives: 0, False Positives: 2358, False Negatives: 903, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.014319032209306196,
True Positives: 0, False Positives: 2358, False Negatives: 913, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.014308863687842774,
True Positives: 0, False Positives: 2358, False Negatives: 923, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.014291331245939341,
True Positives: 0, False Positives: 2358, False Negatives: 932, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.014281254101936224,
True Positives: 0, False Positives: 2358, False Negatives: 941, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.014269706173225202,
True Positives: 0, False Positives: 2358, False Negatives: 951, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.014256199516304609,
True Positives: 0, False Positives: 2358, False Negatives: 960, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.01423972032916936,
True Positives: 0, False Positives: 2358, False Negatives: 970, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.014235096522685295,
True Positives: 0, False Positives: 2358, False Negatives: 979, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.014227318144030533,
True Positives: 0, False Positives: 2358, False Negatives: 989, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.01421490040950743,
True Positives: 0, False Positives: 2358, False Negatives: 998, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.014209446379763558,
True Positives: 0, False Positives: 2358, False Negatives: 1008, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.014193531937502528,
True Positives: 0, False Positives: 2358, False Negatives: 1017, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.014188922479849216,
True Positives: 0, False Positives: 2358, False Negatives: 1027, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.014184631613446089,
True Positives: 0, False Positives: 119, False Negatives: 10, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.02026465279996046,
True Positives: 0, False Positives: 226, False Negatives: 19, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.02106144847378968,
True Positives: 0, False Positives: 346, False Negatives: 29, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.02066155068973001,
True Positives: 0, False Positives: 454, False Negatives: 38, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.020557528815898923,
True Positives: 0, False Positives: 574, False Negatives: 48, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.020722622500064364,
True Positives: 0, False Positives: 682, False Negatives: 57, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.020253635421173193,
True Positives: 0, False Positives: 789, False Negatives: 66, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.02015955387888067,
True Positives: 0, False Positives: 909, False Negatives: 76, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.02006878530269923,
True Positives: 0, False Positives: 1029, False Negatives: 86, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.02017217803491211,
True Positives: 0, False Positives: 1137, False Negatives: 95, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.020157700673735235,
True Positives: 0, False Positives: 1255, False Negatives: 105, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.020073073466708245,
True Positives: 0, False Positives: 1374, False Negatives: 115, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.0200607002957638,
True Positives: 0, False Positives: 1476, False Negatives: 124, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.01999797737106189,
True Positives: 0, False Positives: 1584, False Negatives: 133, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.020044986052738738,
True Positives: 0, False Positives: 1704, False Negatives: 143, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.020002032251859356,
True Positives: 0, False Positives: 1824, False Negatives: 153, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.019954531150444405,
True Positives: 0, False Positives: 1932, False Negatives: 162, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.019901327888986502,
True Positives: 0, False Positives: 2050, False Negatives: 172, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.01991667108148799,
True Positives: 0, False Positives: 2170, False Negatives: 182, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.019712538285822808,
True Positives: 0, False Positives: 2273, False Negatives: 191, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.019727916685989735,
True Positives: 0, False Positives: 2393, False Negatives: 201, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.019628803507585325,
True Positives: 0, False Positives: 2499, False Negatives: 210, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.019697523552496845,
True Positives: 0, False Positives: 2601, False Negatives: 219, ID Precision: 0.0, Detection Rate: 0.0, Avg. Detection Time: 0.01969958662111946,
